Date,Price,Return,Sign,avg_positive_XLF,avg_neutral_XLF,avg_negative_XLF,n_XLF,sent_index_XLF,is_trading_day
2018-06-21,23.65703773498535,-0.0029325746582622,-1.0,0.1803264301270246,0.6857887804508209,0.1338847558945417,4.0,0.04644167423248288,1.0
2018-06-22,23.54397201538086,-0.0047793692883739,-1.0,0.38313080618778866,0.35161335766315455,0.26525582342098153,3.0,0.11787498276680713,1.0
2018-06-25,23.29174423217773,-0.010713051435771,-1.0,0.18657790840818328,0.32336977854944193,0.4900523056634344,13.0,-0.3034743972552511,1.0
2018-06-26,23.21346664428711,-0.0033607439232687,-1.0,0.030081111937761248,0.12507550604641435,0.8448433876037598,2.0,-0.8147622756659986,1.0
2018-06-27,22.92645072937012,-0.0123641987349452,-1.0,0.04611381725408131,0.2493007839657366,0.7045854213647544,8.0,-0.6584716041106731,1.0
2018-06-28,23.126489639282227,0.0087252454500443,1.0,0.21846394203603264,0.21584154665470118,0.5656945314258337,5.0,-0.34723058938980106,1.0
2018-06-29,23.126489639282227,0.0,0.0,0.18256317697126753,0.2943871082230048,0.5230497035451911,11.0,-0.34048652657392353,1.0
2018-07-02,23.239559173583984,0.0048891784298166,1.0,0.4851806368678809,0.023948465473949847,0.49087087064981455,2.0,-0.0056902337819336735,1.0
2018-07-03,23.030824661254883,-0.0089818619522854,-1.0,,,,,,
2018-07-05,23.0830020904541,0.0022655475853192,1.0,0.08521633564184106,0.48705389474829036,0.42772978047529847,6.0,-0.3425134448334574,1.0
2018-07-06,23.19606590270996,0.0048981415767672,1.0,0.08916121907532211,0.8419225931167602,0.06891619823873038,5.0,0.02024502083659173,1.0
2018-07-09,23.72661781311035,0.0228724953889016,1.0,0.6205838216202599,0.3020847343972751,0.07733144278505012,7.0,0.5432523788352098,1.0
2018-07-10,23.639636993408203,-0.0036659594885068,-1.0,0.22393355593085285,0.4863568633794785,0.2897095791995525,5.0,-0.06577602326869963,1.0
2018-07-11,23.52657127380371,-0.0047828873022043,-1.0,0.04737072892021382,0.2472280976362526,0.7054012067383155,4.0,-0.6580304778181016,1.0
2018-07-12,23.57005882263184,0.0018484439709474,1.0,0.16139182448387143,0.6423345804214478,0.19627360564966997,6.0,-0.03488178116579854,1.0
2018-07-13,23.465694427490234,-0.0044278377040534,-1.0,0.2860019567422568,0.279392178542912,0.4346058636903763,10.0,-0.14860390694811948,1.0
2018-07-16,23.88316345214844,0.0177906102863565,1.0,0.15473584095016119,0.3152603028342128,0.5300038578920067,10.0,-0.3752680169418455,1.0
2018-07-17,23.90926170349121,0.001092746837958,1.0,0.23119115456938744,0.7423439264297486,0.02646488305181262,5.0,0.2047262715175748,1.0
2018-07-18,24.29195022583008,0.0160058694862581,1.0,0.14529743744060392,0.4401767742820084,0.4145257853670046,8.0,-0.26922834792640066,1.0
2018-07-19,23.92665672302246,-0.015037635900439,-1.0,0.10315063303070406,0.6329892916338784,0.26386008557996576,7.0,-0.16070945254926172,1.0
2018-07-20,23.970144271850582,0.0018175355350118,1.0,0.03132836660370225,0.052159968763589803,0.916511595249176,2.0,-0.8851832286454737,1.0
2018-07-23,24.300647735595703,0.0137881299335043,1.0,0.22222920432686805,0.55618503279984,0.22158576734364033,5.0,0.0006434369832277187,1.0
2018-07-24,24.37022590637207,0.0028632228874478,1.0,0.2749626351786511,0.43174290790089537,0.2932944609118359,7.0,-0.018331825733184814,1.0
2018-07-25,24.422407150268555,0.0021411883540578,1.0,0.2853960178792476,0.5024242755025625,0.21217972096055743,5.0,0.0732162969186902,1.0
2018-07-26,24.41371154785156,-0.0003560501781618,-1.0,0.04994196910411115,0.39010076550766826,0.5599573065992445,4.0,-0.5100153374951333,1.0
2018-07-27,24.46589469909668,0.0021374526008812,1.0,0.4873217046260834,0.0310238720849156,0.48165439441800123,2.0,0.005667310208082144,1.0
2018-07-30,24.483295440673828,0.0007112244122342,1.0,0.3375273168087006,0.6090550065040589,0.05341768078505987,5.0,0.2841096360236407,1.0
2018-07-31,24.309341430664062,-0.0071050080015281,-1.0,0.13926477337049112,0.4656151793897152,0.39512006317575765,9.0,-0.2558552898052665,1.0
2018-08-01,24.309341430664062,0.0,0.0,0.1405058681964874,0.5622634913772344,0.29723062645643944,5.0,-0.15672475825995205,1.0
2018-08-02,24.31803703308105,0.0003577062110791,1.0,0.23094505111553837,0.4014367498457432,0.36761820236487047,7.0,-0.1366731512493321,1.0
2018-08-03,24.45720100402832,0.0057226646524946,1.0,0.01690889615565535,0.1537262080237269,0.8293648660182953,2.0,-0.8124559698626399,1.0
2018-08-06,24.587661743164062,0.0053342465114569,1.0,0.2980012372136116,0.45056531442837283,0.25143343832513143,11.0,0.04656779888848017,1.0
2018-08-07,24.700729370117188,0.0045985514252717,1.0,0.23857829781870044,0.5585338274637858,0.20288784801959991,3.0,0.03569044979910052,1.0
2018-08-08,24.761608123779297,0.0024646540897597,1.0,0.0280435029417276,0.1342591941356659,0.8376972675323486,1.0,-0.809653764590621,1.0
2018-08-09,24.613750457763672,-0.0059712465069516,-1.0,0.13710601953789586,0.4017920307815075,0.46110191149637103,2.0,-0.32399589195847517,1.0
2018-08-10,24.326738357543945,-0.0116606406939986,-1.0,0.15030525329833225,0.4249244115004937,0.42477032355964184,6.0,-0.2744650702613096,1.0
2018-08-13,24.091907501220703,-0.0096531994084779,-1.0,0.04745140475117493,0.5143637818594774,0.43818483687937254,9.0,-0.3907334321281976,1.0
2018-08-14,24.31803703308105,0.0093861198765141,1.0,0.06594821469237404,0.3839722350239754,0.5500795543193816,3.0,-0.48413133962700755,1.0
2018-08-15,24.126697540283203,-0.0078682129045842,-1.0,0.050631032635768236,0.8225910663604736,0.12677790348728493,3.0,-0.0761468708515167,1.0
2018-08-16,24.44850349426269,0.013338168368969,1.0,0.06334948788086565,0.6044738050550221,0.3321767247592409,3.0,-0.2688272368783753,1.0
2018-08-17,24.50067901611328,0.0021340987951607,1.0,0.07660524547100064,0.4407470375299454,0.482647705823183,2.0,-0.4060424603521824,1.0
2018-08-20,24.578956604003903,0.0031949150404828,1.0,0.19112268249903402,0.3352244634713445,0.4736528455146721,7.0,-0.2825301630156381,1.0
2018-08-21,24.67464065551757,0.0038929256866047,1.0,0.03136218897998327,0.2706564739346504,0.6979812979698181,3.0,-0.6666191089898349,1.0
2018-08-22,24.587661743164062,-0.0035250325857962,-1.0,0.2266250355169177,0.2478451646864414,0.5255298303440213,5.0,-0.29890479482710364,1.0
2018-08-23,24.474594116210938,-0.0045985514252716,-1.0,0.14879877679049963,0.1381469760090112,0.7130542664478222,6.0,-0.5642554896573226,1.0
2018-08-24,24.561573028564453,0.0035538449357124,1.0,0.18534542368724938,0.30309353861957783,0.5115610357373953,10.0,-0.32621561205014593,1.0
2018-08-27,24.892066955566406,0.0134557313009877,1.0,0.0721156631285945,0.2860402353107929,0.6418441043545802,3.0,-0.5697284412259856,1.0
2018-08-28,24.86598014831543,-0.001047996829574,-1.0,0.046838992089033096,0.2537179037928581,0.699443108215928,5.0,-0.652604116126895,1.0
2018-08-29,24.85728454589844,-0.000349698759716,-1.0,0.1870931657031178,0.5859206449240446,0.2269862010143697,4.0,-0.039893035311251906,1.0
2018-08-30,24.66593742370605,-0.0076978288533114,-1.0,0.14496866680149517,0.43343886520181385,0.42159245376076016,7.0,-0.276623786959265,1.0
2018-08-31,24.63984489440918,-0.001057836515542,-1.0,0.24198036889235175,0.2021138289322455,0.5559058083842198,6.0,-0.313925439491868,1.0
2018-09-04,24.761608123779297,0.004941720611145,1.0,0.19194328105077146,0.4430586664006114,0.3649980545043945,10.0,-0.17305477345362302,1.0
2018-09-05,24.779008865356445,0.0007027306744442,1.0,0.28199155256152153,0.5346226756061826,0.18338577675500084,7.0,0.09860577580652069,1.0
2018-09-06,24.66593742370605,-0.0045631946888916,-1.0,0.20751681085675952,0.5369573570787907,0.25552584230899805,4.0,-0.04800903145223853,1.0
2018-09-07,24.63984489440918,-0.001057836515542,-1.0,0.1976921520092421,0.6122662702368366,0.19004156109359527,9.0,0.007650590915646821,1.0
2018-09-10,24.613750457763672,-0.0010590341277444,-1.0,0.38160834424197676,0.5063148468732834,0.11207680609077211,5.0,0.2695315381512047,1.0
2018-09-11,24.63984489440918,0.0010601568700505,1.0,0.14016796958943203,0.5611118715670373,0.29872013814747334,9.0,-0.1585521685580413,1.0
2018-09-12,24.41371154785156,-0.0091775474856552,-1.0,0.31693780814696637,0.4653166141360998,0.21774559361594062,7.0,0.09919221453102575,1.0
2018-09-13,24.378925323486328,-0.0014248642324231,-1.0,0.142036281441423,0.35111230171539565,0.5068514282730493,11.0,-0.3648151468316263,1.0
2018-09-14,24.55287170410156,0.0071351127380359,1.0,0.1622303591109812,0.3540839413180947,0.48368571437895297,10.0,-0.32145535526797175,1.0
2018-09-17,24.44850349426269,-0.0042507536835877,-1.0,0.1034175355664708,0.6160530976273796,0.28052937857468013,11.0,-0.1771118430082093,1.0
2018-09-18,24.570262908935547,0.0049802399848901,1.0,0.3269240300481518,0.49549977233012515,0.17757623735815284,6.0,0.14934779268999895,1.0
2018-09-19,24.987735748291016,0.0169909797425751,1.0,0.18645101288954413,0.6185627492765585,0.19498622179445288,9.0,-0.008535208904908748,1.0
2018-09-20,25.20517921447754,0.0087020075919201,1.0,0.16526216004664698,0.08779490211357667,0.7469429424963892,6.0,-0.5816807824497422,1.0
2018-09-21,25.107336044311523,-0.0038818676643177,-1.0,0.03970060348510736,0.47351097464561465,0.4867884263396263,5.0,-0.447087822854519,1.0
2018-09-24,24.82777976989746,-0.0111344458815016,-1.0,0.13067768118344242,0.5495865577831864,0.3197357582394033,8.0,-0.1890580770559609,1.0
2018-09-25,24.731687545776367,-0.003870351074952,-1.0,0.3259608040874203,0.0688258955876032,0.6052133198827505,3.0,-0.2792525157953302,1.0
2018-09-26,24.43466186523437,-0.0120099237058621,-1.0,0.2788038971749219,0.448318287730217,0.27287781009958545,11.0,0.005926087075336428,1.0
2018-09-27,24.34730339050293,-0.0035751865613387,-1.0,0.32491357826317346,0.4952248129993677,0.17986162534604466,12.0,0.1450519529171288,1.0
2018-09-28,24.093957901000977,-0.0104054845597716,-1.0,0.05466789087014534,0.49774137511849403,0.447590721771121,7.0,-0.3929228309009757,1.0
2018-10-01,24.19005012512207,0.0039882291035755,1.0,0.2798528602346778,0.2363026518374681,0.48384449928998946,5.0,-0.20399163905531165,1.0
2018-10-02,24.19005012512207,0.0,0.0,0.2622457702333728,0.5263511675099531,0.21140307420864698,6.0,0.050842696024725825,1.0
2018-10-03,24.417186737060547,0.0093896709913217,1.0,0.4194349627941847,0.3795716054737568,0.20099341999739403,10.0,0.21844154279679065,1.0
2018-10-04,24.583171844482425,0.0067978800837831,1.0,0.19017781678121534,0.43545680376701057,0.3743653844576329,8.0,-0.18418756767641756,1.0
2018-10-05,24.460866928100582,-0.0049751479245869,-1.0,0.08302730415016409,0.4616954065859318,0.4552772694732994,8.0,-0.3722499653231353,1.0
2018-10-08,24.62685203552246,0.0067857409923275,1.0,0.17369392700493333,0.6040684295197328,0.22223763478298977,12.0,-0.048543707778056444,1.0
2018-10-09,24.53075790405273,-0.0039020062869229,-1.0,0.09360961220227179,0.4308875575661659,0.47550281416624784,4.0,-0.381893201963976,1.0
