Date,Price,avg_positive_XLF,avg_neutral_XLF,avg_negative_XLF,n_XLF,sent_index_XLF,Sign_next_day
2019-03-15,23.528589248657227,0.0514118345454334,0.424232031404972,0.5243561342358589,5.0,-0.4729442996904254,1.0
2019-03-18,23.767147064208984,0.1623002900318665,0.7605361254377798,0.0771635746244679,11.0,0.0851367154073986,-1.0
2019-03-19,23.581605911254883,0.0806837152689694,0.4096271250396966,0.5096891589462758,10.0,-0.4290054436773062,-1.0
2019-03-20,23.09566307067871,0.3229899903138478,0.1543698807557423,0.5226401885350546,3.0,-0.1996501982212067,-1.0
2019-03-21,23.02497291564941,0.2556450726198299,0.6002153498785836,0.1441395850852131,7.0,0.1115054875346167,-1.0
2019-03-22,22.388824462890625,0.158306177239865,0.4476324698577325,0.3940613831703861,12.0,-0.2357552059305211,-1.0
2019-03-25,22.291637420654297,0.2543701409096164,0.3696674651333264,0.3759624027380985,14.0,-0.1215922618284821,1.0
2019-03-26,22.556703567504883,0.7319205602010092,0.2590201770265897,0.0090592264508207,3.0,0.7228613337501885,-1.0
2019-03-27,22.45951461791992,0.0443171868100761,0.3298081819500241,0.6258746571838856,7.0,-0.5815574703738093,1.0
2019-03-28,22.653892517089844,0.2516789667618771,0.5315187211769322,0.2168022932407135,12.0,0.0348766735211635,1.0
2019-03-29,22.71573638916016,0.1493293853476643,0.5928554333746433,0.2578151581808924,5.0,-0.108485772833228,1.0
2019-04-01,23.27236557006836,0.0703393691219389,0.8751799166202545,0.0544807293917983,4.0,0.0158586397301406,-1.0
2019-04-02,23.254695892333984,0.0390617623925209,0.080212190747261,0.8807260394096375,1.0,-0.8416642770171165,1.0
2019-04-03,23.32537651062012,0.0621003887305656,0.2618663677324851,0.6760332584381104,3.0,-0.6139328697075447,1.0
2019-04-04,23.46674156188965,0.3212448433041572,0.4705236798152327,0.2082314675673842,10.0,0.113013375736773,1.0
2019-04-05,23.502084732055664,0.2564351470874888,0.5030489731580018,0.2405158633898411,7.0,0.0159192836976476,1.0
2019-04-08,23.528589248657227,0.2347211438334649,0.4240720959173308,0.3412067449341217,9.0,-0.1064856011006567,-1.0
2019-04-09,23.334217071533203,0.1780245702248066,0.467141202185303,0.3548342454014345,8.0,-0.1768096751766279,1.0
2019-04-10,23.404897689819336,0.1351694942762454,0.40419269601504,0.4606378055177629,6.0,-0.3254683112415175,1.0
2019-04-11,23.5462703704834,0.2503489656373858,0.3896087917964905,0.3600422590970992,8.0,-0.1096932934597134,1.0
2019-04-12,23.97919273376465,0.3600557288154959,0.342076315329625,0.2978679546369956,13.0,0.0621877741785003,-1.0
2019-04-15,23.828990936279297,0.0648289132355288,0.3142355897209861,0.6209354643625292,11.0,-0.5561065511270004,1.0
2019-04-16,24.16474151611328,0.5443382017314434,0.0366676162928342,0.4189941290766,5.0,0.1253440726548433,1.0
2019-04-17,24.22659111022949,0.2925102296950561,0.3492774122527667,0.3582123621766056,14.0,-0.0657021324815495,-1.0
2019-04-18,24.155902862548828,0.2875147665747337,0.4189823700322044,0.2935028677392337,9.0,-0.0059881011644999,-1.0
2019-04-22,24.08521842956543,0.2477339543402194,0.4383717328310013,0.3138943156227469,2.0,-0.0661603612825274,1.0
2019-04-23,24.23542022705078,0.0305336920234063,0.4373918163279692,0.5320744855950276,6.0,-0.5015407935716212,-1.0
2019-04-24,24.20891571044922,0.2001522329043258,0.5167384283109144,0.2831093265929005,11.0,-0.0829570936885747,1.0
2019-04-25,24.253087997436523,0.2697586791420524,0.4756437631493265,0.2545975522900169,11.0,0.0151611268520355,1.0
2019-04-26,24.47397804260254,0.0937726516276597,0.7196338474750519,0.1865934706293046,4.0,-0.0928208190016448,1.0
2019-04-29,24.72136688232422,0.2747830136213451,0.221616051159799,0.503600942902267,4.0,-0.2288179292809218,1.0
2019-04-30,24.756710052490234,0.2418370281811803,0.1766754519194364,0.581487541901879,8.0,-0.3396505137206987,-1.0
2019-05-01,24.55349540710449,0.1497428959235548,0.2887061342597007,0.5615509569644928,5.0,-0.4118080610409379,1.0
2019-05-02,24.57999992370605,0.1533711222776521,0.4843816409508387,0.3622472331238289,12.0,-0.2088761108461767,1.0
2019-05-03,24.80088424682617,0.1572235487401485,0.8294850885868073,0.0132913626730441,2.0,0.1439321860671043,-1.0
2019-05-06,24.63301086425781,0.0769553063437342,0.2962313145399093,0.6268133552124103,3.0,-0.5498580488686762,-1.0
2019-05-07,24.22659111022949,0.1679376222503681,0.2155151659001906,0.616547234977285,6.0,-0.4486096127269169,-1.0
2019-05-08,24.17357635498047,0.2823377761989831,0.6496128685772419,0.0680493425577878,5.0,0.2142884336411953,-1.0
2019-05-09,24.12056350708008,0.2415761363559534,0.3547488344567163,0.4036750463502747,7.0,-0.1620989099943212,1.0
2019-05-10,24.27959251403809,0.2179481843486427,0.6201373310759664,0.1619144956348463,8.0,0.0560336887137964,-1.0
2019-05-13,23.57276725769043,0.1041529291542246,0.4216964806740482,0.4741505905985832,12.0,-0.3699976614443586,1.0
2019-05-14,23.7583122253418,0.1162253437149855,0.5999978060523669,0.2837768705147836,9.0,-0.167551526799798,-1.0
2019-05-15,23.66995429992676,0.4209058950655162,0.5474516442045569,0.0316424884367733,4.0,0.3892634066287428,1.0
2019-05-16,23.90851211547852,0.0577591857872902,0.4438896318897604,0.498351186979562,8.0,-0.4405920011922717,-1.0
2019-05-17,23.749473571777344,0.1854549827985465,0.5954854264855385,0.2190595925785601,4.0,-0.0336046097800135,1.0
2019-05-20,23.77598190307617,0.0353259705007075,0.5792449386790395,0.385429106419906,8.0,-0.3501031359191984,1.0
2019-05-21,24.02337455749512,0.0226755117997526,0.381861774623394,0.5954627156257629,5.0,-0.5727872038260102,-1.0
2019-05-22,23.88200759887696,0.328474012720916,0.4901974085304472,0.1813285881653427,9.0,0.1471454245555732,-1.0
2019-05-23,23.5462703704834,0.2187526995937029,0.232396174636152,0.5488511205961307,9.0,-0.3300984210024278,1.0
2019-05-24,23.73180389404297,,,,,,-1.0
2019-05-28,23.457908630371094,0.0733108013868331,0.7056308805942535,0.2210583236068487,5.0,-0.1477475222200155,-1.0
2019-05-29,23.41373062133789,0.2172994852066039,0.7298832461237907,0.0528172858059405,5.0,0.1644821994006634,-1.0
2019-05-30,23.334217071533203,0.2224512569606304,0.1928274750709533,0.5847212851047516,5.0,-0.3622700281441212,-1.0
2019-05-31,22.98080444335937,0.1980465687811374,0.6648623943328857,0.1370910359546542,2.0,0.0609555328264831,1.0
