Date,Price,Return,Sign,avg_positive_XLK,avg_neutral_XLK,avg_negative_XLK,n_XLK,sent_index_XLK,is_trading_day
2019-04-04,71.16539764404297,-0.0042173323016588,-1.0,0.07168175410479305,0.38492146879434586,0.5433967936784029,5.0,-0.47171503957360983,1.0
2019-04-05,71.50446319580078,0.0047644721027733,1.0,0.060408290009945596,0.4344768840819597,0.5051148608326912,4.0,-0.4447065708227456,1.0
2019-04-08,71.77760314941406,0.0038199007643109,1.0,0.18375949445180592,0.5777912389021367,0.2384492317214608,8.0,-0.05468973726965487,1.0
2019-04-09,71.43852996826172,-0.0047239412612667,-1.0,0.28531368790815276,0.25750548454622424,0.45718085393309593,6.0,-0.17186716602494317,1.0
2019-04-10,71.93770599365234,0.0069874901626949,1.0,0.37084205200274784,0.5988764961560568,0.0302814360087116,3.0,0.34056061599403625,1.0
2019-04-11,71.843505859375,-0.0013094681429743,-1.0,0.1029729048411051,0.5829508453607559,0.31407621596008534,3.0,-0.21110331111898023,1.0
2019-04-12,72.34268188476562,0.0069481022594819,1.0,0.9230551719665528,0.0672622472047805,0.0096825240179896,1.0,0.9133726479485632,1.0
2019-04-15,72.31444549560547,-0.0003903143818352,-1.0,0.33773557934910053,0.3929004976525903,0.2693639484350569,8.0,0.06837163091404364,1.0
2019-04-16,72.68177032470703,0.0050795498269275,1.0,0.232400112918445,0.4578119536329593,0.3097879290580749,7.0,-0.07738781613962989,1.0
2019-04-17,73.08677673339844,0.0055723244890986,1.0,0.34871546830981964,0.4120388239622116,0.23924571508541698,10.0,0.10946975322440267,1.0
2019-04-18,73.29396057128906,0.0028347650170204,1.0,0.38426082879304885,0.5810927286744118,0.03464646553620692,5.0,0.3496143632568419,1.0
2019-04-22,73.46349334716797,0.0023130524610415,1.0,0.19171042554080484,0.555441789329052,0.25284774159081275,4.0,-0.06113731605000791,1.0
2019-04-23,74.26405334472656,0.0108973853690208,1.0,0.32587979710660875,0.40430830465629697,0.2698118895059451,8.0,0.05606790760066366,1.0
2019-04-24,74.29230499267578,0.0003804215724407,1.0,0.54330018684268,0.422977464646101,0.03372236471623178,5.0,0.5095778221264482,1.0
2019-04-25,74.2734603881836,-0.0002536548636369,-1.0,0.3055052559024521,0.5292677858046123,0.16522695350327657,7.0,0.14027830239917552,1.0
2019-04-26,73.99092864990234,-0.0038039393452873,-1.0,0.26163832582533353,0.5390164867043495,0.19934519007802007,5.0,0.06229313574731346,1.0
2019-04-29,74.00975799560547,0.0002544818134695,1.0,0.23874565240527898,0.5476754291781357,0.21357891988009212,7.0,0.025166732525186863,1.0
2019-04-30,74.1322021484375,0.0016544325525196,1.0,0.1554942123422568,0.25299873304637993,0.5915070729838177,11.0,-0.43601286064156086,1.0
2019-05-01,73.9438247680664,-0.0025411005596986,-1.0,0.3654416044009849,0.25503558618947864,0.3795228066155687,8.0,-0.01408120221458381,1.0
2019-05-02,73.55764770507812,-0.0052225735441677,-1.0,0.13929193342725435,0.7657175610462824,0.09499051530535015,6.0,0.044301418121904204,1.0
2019-05-03,74.25462341308594,0.0094752310569019,1.0,,,,,,
2019-05-06,73.68013000488281,-0.0077368032022351,-1.0,0.16273895129561422,0.8066203773021698,0.030640690401196418,5.0,0.1320982608944178,1.0
2019-05-07,72.09781646728516,-0.0214754444311213,-1.0,0.45602944989999133,0.5082563410202662,0.035714214357236936,3.0,0.4203152355427544,1.0
2019-05-08,72.0130615234375,-0.0011755549335688,-1.0,0.1915086951727668,0.47632569695512456,0.3321655935918291,6.0,-0.14065689841906232,1.0
2019-05-09,71.52330017089844,-0.0068010072364395,-1.0,0.9494243860244752,0.0284190773963928,0.0221565384417772,1.0,0.927267847582698,1.0
2019-05-10,71.74932861328125,0.003160207119117,1.0,0.06578225363045925,0.6255699843168259,0.3086477816104889,2.0,-0.24286552798002964,1.0
2019-05-13,69.0462646484375,-0.0376737178881894,-1.0,0.17413077751795447,0.49284149209658307,0.3330277592564622,6.0,-0.15889698173850775,1.0
2019-05-14,70.15764617919922,0.0160961861792312,1.0,0.23518719042961791,0.2928200966368119,0.4719927152618766,6.0,-0.23680552483225867,1.0
2019-05-15,70.92052459716797,0.0108737744139844,1.0,0.7309012804180384,0.2476444435305893,0.021454288391396348,4.0,0.709446992026642,1.0
2019-05-16,71.57040405273438,0.0091634891205014,1.0,0.24520312746365866,0.3919132699569066,0.36288356594741344,3.0,-0.11768043848375478,1.0
2019-05-17,70.99588012695312,-0.0080273953093505,-1.0,0.10447582416236394,0.6406255379319191,0.2548986401408911,5.0,-0.15042281597852714,1.0
2019-05-20,69.76205444335938,-0.0173788349603871,-1.0,0.09275806735136674,0.37814057405505863,0.529101351142994,7.0,-0.43634328379162723,1.0
2019-05-21,70.619140625,0.0122858506458765,1.0,0.4500259786312069,0.2664883647646223,0.2834856266688023,7.0,0.16654035196240463,1.0
2019-05-22,70.25180053710938,-0.0052017071383134,-1.0,0.11197391385212535,0.5814561108127236,0.3065699780127033,8.0,-0.19459606416057795,1.0
2019-05-23,69.01801300048828,-0.0175623617784623,-1.0,0.02785155150507173,0.2129585059093577,0.7591899452464921,7.0,-0.7313383937414204,1.0
