Date,Price,Return,Sign,avg_positive_XLE,avg_neutral_XLE,avg_negative_XLE,n_XLE,sent_index_XLE,is_trading_day
2018-05-14,55.37577438354492,0.0069071269947493,1.0,0.4809348724782467,0.3749171532690525,0.14414797648787497,5.0,0.3367868959903717,1.0
2018-05-15,55.39010620117188,0.000258810243044,1.0,0.2873296967397133,0.288537017069757,0.42413325794041157,6.0,-0.13680356120069825,1.0
2018-05-16,55.583641052246094,0.0034940328579857,1.0,0.37842763811349867,0.5271859250962734,0.09438643120229237,5.0,0.28404120691120627,1.0
2018-05-17,56.42221832275391,0.0150867639224929,1.0,0.34812915511429304,0.4867072481662035,0.16516360249370332,10.0,0.18296555262058972,1.0
2018-05-18,55.985008239746094,-0.0077488992103577,-1.0,0.3297958034090697,0.341114834882319,0.32908939321835834,6.0,0.0007064101907113818,1.0
2018-05-21,56.55840301513672,0.0102419342859638,1.0,0.5175236612558365,0.3273592051118612,0.1551171243190765,2.0,0.36240653693675995,1.0
2018-05-22,55.80583190917969,-0.0133060883235267,-1.0,0.057712586907048974,0.3443505683292945,0.5979368487993876,3.0,-0.5402242618923386,1.0
2018-05-23,55.79866790771485,-0.0001283737061118,-1.0,0.3634000780681769,0.31675931811332697,0.319840588606894,3.0,0.04355948946128291,1.0
2018-05-24,54.8812370300293,-0.0164418060876092,-1.0,0.0573016032576561,0.0279213320463895,0.9147770404815674,1.0,-0.8574754372239113,1.0
2018-05-25,53.45489501953125,-0.025989611161964,-1.0,0.11763269081711765,0.2602265980094671,0.6221407225355506,5.0,-0.504508031718433,1.0
2018-05-29,53.29004287719727,-0.0030839484816824,-1.0,0.17017212882637975,0.49488828875697577,0.3349395664408803,13.0,-0.16476743761450055,1.0
2018-05-30,54.90273666381836,0.0302625725097915,1.0,0.20588092630108193,0.3924115113914013,0.40170756432538224,6.0,-0.1958266380243003,1.0
2018-05-31,54.487003326416016,-0.0075721787776804,-1.0,0.1974342043201128,0.4208883196115494,0.38167746861775714,3.0,-0.18424326429764434,1.0
2018-06-01,54.74504089355469,0.0047357636020619,1.0,0.03787200028697643,0.09921392798423763,0.8629140655199686,3.0,-0.8250420652329922,1.0
2018-06-04,54.2719841003418,-0.0086410894117824,-1.0,0.11523367690720723,0.38162748169686106,0.5031388364732265,7.0,-0.38790515956601934,1.0
2018-06-05,54.14298248291016,-0.0023769467722632,-1.0,0.31969072048862773,0.3275439714392026,0.3527653220420082,3.0,-0.03307460155338049,1.0
2018-06-06,54.4010009765625,0.0047655020432939,1.0,0.09386001825332638,0.17306169904768462,0.7330783057957888,5.0,-0.6392182875424625,1.0
2018-06-07,55.22528076171875,0.0151519231330206,1.0,0.3482988302906354,0.5973873312274615,0.0543138142675161,3.0,0.2939850160231193,1.0
2018-06-08,55.11773681640625,-0.0019473680138725,-1.0,0.14975285362452265,0.44841115064918996,0.4018359886482358,5.0,-0.25208313502371316,1.0
2018-06-11,55.40445709228516,0.0052019602480044,1.0,0.5339942251642545,0.3644701478381951,0.10153560433536767,3.0,0.43245862082888686,1.0
2018-06-12,54.9815673828125,-0.0076327741785876,-1.0,0.33474863693118095,0.24453931301832196,0.4207120053470135,4.0,-0.08596336841583252,1.0
2018-06-13,54.77371597290039,-0.0037803834958892,-1.0,0.20607250630855561,0.4125142119824886,0.38141326177865265,5.0,-0.17534075547009703,1.0
2018-06-14,54.69486618041992,-0.0014395552881509,-1.0,0.29705069353803987,0.3032234460115432,0.3997258662711829,4.0,-0.10267517273314303,1.0
2018-06-15,53.520111083984375,-0.0214783430049984,-1.0,0.06493288138881322,0.5889938451970617,0.3460732644113402,6.0,-0.281140383022527,1.0
2018-06-18,54.05409622192383,0.0099772800751762,1.0,0.15755025204271073,0.5886030090041459,0.2538467408157885,4.0,-0.09629648877307778,1.0
2018-06-19,53.931434631347656,-0.0022692376554142,-1.0,0.22798674101276054,0.518009181533541,0.2540040940844587,7.0,-0.02601735307169814,1.0
2018-06-20,54.16953659057617,0.0044149012696599,1.0,0.3219182905223634,0.6160905646781126,0.061991135589778375,9.0,0.25992715493258506,1.0
2018-06-21,53.16655349731445,-0.0185156299350031,-1.0,0.3364042555913329,0.2957076773579631,0.3678880758317454,7.0,-0.03148382024041246,1.0
2018-06-22,54.22728729248047,0.0199511483327501,1.0,0.5598083941096609,0.33511326936158264,0.10507834677330469,11.0,0.4547300473363562,1.0
2018-06-25,53.1376953125,-0.0200930571006372,-1.0,0.3549999113061598,0.1708636858633586,0.47413638593362906,7.0,-0.11913647462746924,1.0
2018-06-26,53.80875778198242,0.0126287462325178,1.0,0.2639221030597885,0.33377147900561493,0.40230642352253193,6.0,-0.1383843204627434,1.0
2018-06-27,54.53034973144531,0.0134103067828952,1.0,0.054763091262429925,0.41996282106265426,0.525274143088609,4.0,-0.470511051826179,1.0
2018-06-28,54.45819091796875,-0.0013232780246584,-1.0,0.27741447122146684,0.37611765290300053,0.34646790288388724,3.0,-0.0690534316624204,1.0
2018-06-29,54.79733657836914,0.006227633615506,1.0,0.278620754679044,0.05622431635856623,0.6651549388964971,3.0,-0.3865341842174531,1.0
2018-07-02,53.98915481567383,-0.0147485592030459,-1.0,0.23673936569442347,0.3797565732772152,0.3835040690222134,12.0,-0.14676470332778993,1.0
2018-07-03,54.32831573486328,0.0062820194231119,1.0,0.3718358638385931,0.30058955525358516,0.3275745939463377,3.0,0.04426126989225537,1.0
2018-07-05,54.27056503295898,-0.0010629945199506,-1.0,0.14196142368018622,0.4733994280298551,0.3846391368036468,6.0,-0.2426777131234606,1.0
2018-07-06,54.60249328613281,0.0061161746330125,1.0,0.7075127959251404,0.0813600122928619,0.2111271619796753,1.0,0.4963856339454651,1.0
2018-07-09,55.41789245605469,0.0149333688051376,1.0,0.40011105239391326,0.3652919501066208,0.23459700644016263,5.0,0.16551404595375063,1.0
2018-07-10,55.82920455932617,0.0074220091209287,1.0,0.4915403686463833,0.0359020670875906,0.47255755867809046,2.0,0.018982809968292824,1.0
2018-07-11,54.64580154418945,-0.0211968453514179,-1.0,0.20674263096104065,0.36067199707031244,0.43258538593848544,3.0,-0.2258427549774448,1.0
2018-07-12,54.73960876464844,0.0017166409460227,1.0,0.1618086844682693,0.037644874304533,0.800546407699585,1.0,-0.6387377232313156,1.0
2018-07-13,55.02824783325195,0.005272947233593,1.0,0.01875871792435645,0.199237160384655,0.7820040881633759,2.0,-0.7632453702390194,1.0
2018-07-16,54.39323043823242,-0.0115398439896501,-1.0,0.36694647943867104,0.34533012977668215,0.2877233942438449,7.0,0.07922308519482613,1.0
2018-07-17,54.1767692565918,-0.003979561057445,-1.0,0.29689752683043474,0.678831160068512,0.024271304719149997,2.0,0.27262622211128473,1.0
2018-07-18,54.21285629272461,0.0006660979720274,1.0,,,,,,
2018-07-19,54.22728729248047,0.0002661914671666,1.0,0.9528038501739502,0.0294631049036979,0.0177330952137708,1.0,0.9350707549601794,1.0
2018-07-20,54.039669036865234,-0.0034598495514499,-1.0,,,,,,
2018-07-23,53.80153274536133,-0.004406694114678,-1.0,0.46301226271316404,0.10671857371926302,0.43026915867812926,4.0,0.032743104035034776,1.0
2018-07-24,54.4798469543457,0.0126077116091614,1.0,0.04535092227160925,0.7268608212471008,0.22778827371075747,2.0,-0.18243735143914822,1.0
2018-07-25,54.93442916870117,0.0083440435274424,1.0,0.0234270468354225,0.0949259176850318,0.8816470503807068,1.0,-0.8582200035452843,1.0
2018-07-26,55.533348083496094,0.0109024326612308,1.0,0.1022752672433853,0.568482518196106,0.3292422592639923,1.0,-0.226966992020607,1.0
